name,visit_count,visit_count_percent
Start,228829,2.29
A,231502,2.32
B,234440,2.34
C,235776,2.36
D,231745,2.32
E,230162,2.3
F,228952,2.29
G,228955,2.29
H,229335,2.29
I,231792,2.32
Jail,500706,5.01
J,231255,2.31
K,238609,2.39
L,245721,2.46
M,253588,2.54
N,260526,2.61
O,268843,2.69
P,279970,2.8
Q,275300,2.75
R,273523,2.74
Parking,270214,2.7
S,269305,2.69
T,266813,2.67
U,263851,2.64
V,267666,2.68
W,270165,2.7
X,270110,2.7
Y,271255,2.71
Z,269750,2.7
AA,269035,2.69
Go to jail,268485,2.68
BB,269121,2.69
CC,260508,2.61
DD,254578,2.55
EE,247738,2.48
FF,239531,2.4
GG,229499,2.29
HH,220217,2.2
II,223953,2.24
JJ,227162,2.27
