estate,visit_count,visit_percentage
Start,2320,2.32
A1,2286,2.29
B1,2371,2.37
C1,2399,2.4
D1,2316,2.32
E1,2286,2.29
F1,2276,2.28
G1,2240,2.24
H1,2289,2.29
I1,2303,2.3
Jail,5031,5.03
A2,2379,2.38
B2,2406,2.41
C2,2484,2.48
D2,2536,2.54
E2,2488,2.49
F2,2733,2.73
G2,2752,2.75
H2,2794,2.79
I2,2671,2.67
Parking,2736,2.74
A3,2701,2.7
B3,2689,2.69
C3,2686,2.69
D3,2548,2.55
E3,2800,2.8
F3,2662,2.66
G3,2740,2.74
H3,2684,2.68
I3,2755,2.75
Go to jail,2705,2.71
A4,2650,2.65
B4,2575,2.58
C4,2617,2.62
D4,2510,2.51
E4,2339,2.34
F4,2299,2.3
G4,2236,2.24
H4,2135,2.13
I4,2278,2.28
